event_id,start_time,end_time,duration_minutes,min_margin_level,min_margin_time,max_used_margin,min_free_margin,max_floating_loss,worst_threshold_crossed,thresholds_crossed,largest_used_margin_contributor,largest_used_margin_contribution_pct,EURUSD_open_positions_at_min,GBPUSD_open_positions_at_min,USDCHF_open_positions_at_min
evt_1729680600_107,2024-10-23 10:50:00,2024-10-23 11:30:00,40,270.61,2024-10-23 11:00:00,4653.1,7934.4,-1809.97,300.0,300,EURUSD,59.81,3,1,1
evt_1729686300_108,2024-10-23 12:25:00,2024-10-23 15:15:00,170,265.69,2024-10-23 14:45:00,4653.39,7695.95,-2064.19,300.0,300,EURUSD,59.79,3,1,1
evt_1729704300_109,2024-10-23 17:25:00,2024-10-23 18:00:00,35,268.54,2024-10-23 17:30:00,4649.33,7832.44,-1934.8,300.0,300,EURUSD,59.81,3,1,1
evt_1729714202_110,2024-10-23 20:10:02,2024-10-25 15:30:00,2599,185.61,2024-10-24 14:15:00,6897.86,5889.44,-2072.53,200.0,"300,200",EURUSD,53.98,4,2,1
evt_1729895400_111,2024-10-25 22:30:00,2024-10-25 22:30:00,0,299.66,2024-10-25 22:30:00,4284.9,8555.25,-1590.47,300.0,300,EURUSD,86.65,4,0,1
evt_1729897200_112,2024-10-25 23:00:00,2024-10-28 09:30:00,3510,228.41,2024-10-28 05:45:00,5582.26,7165.54,-1773.49,300.0,300,EURUSD,66.51,4,1,1
evt_1730116800_113,2024-10-28 12:00:00,2024-10-28 14:00:00,120,261.85,2024-10-28 12:30:00,5019.18,8118.5,-1290.71,300.0,300,EURUSD,74.14,4,1,0
evt_1730214900_114,2024-10-29 15:15:00,2024-10-29 17:00:00,105,291.2,2024-10-29 16:00:00,4285.46,8184.2,-1988.45,300.0,300,EURUSD,86.59,4,0,1
evt_1730224800_115,2024-10-29 18:00:00,2024-10-29 18:30:00,30,296.29,2024-10-29 18:15:00,4286.19,8411.0,-1757.23,300.0,300,EURUSD,86.61,4,0,1
evt_1730230200_116,2024-10-29 19:30:00,2024-10-29 19:30:00,0,298.27,2024-10-29 19:30:00,4286.77,8499.21,-1667.17,300.0,300,EURUSD,86.61,4,0,1
evt_1730296800_117,2024-10-30 14:00:00,2024-10-30 14:45:00,45,238.65,2024-10-30 14:45:00,5595.82,7755.17,-1084.29,300.0,300,EURUSD,66.57,4,1,1
evt_1730314800_118,2024-10-30 19:00:00,2024-11-01 15:38:33,2678,200.99,2024-11-01 15:15:00,6911.32,6961.51,-872.03,300.0,300,EURUSD,54.21,4,2,1
evt_1732917600_119,2024-11-29 22:00:00,2024-12-02 16:15:00,3975,282.75,2024-11-29 23:30:00,5256.41,9605.23,-978.21,300.0,300,EURUSD,38.64,2,1,3
evt_1733223600_120,2024-12-03 11:00:00,2024-12-04 17:15:00,1815,260.96,2024-12-04 11:00:00,5637.13,9056.12,-1228.04,300.0,300,GBPUSD,49.44,1,2,3
evt_1733342400_121,2024-12-04 20:00:00,2024-12-05 09:00:00,780,270.37,2024-12-04 23:30:00,5640.5,9597.94,-748.26,300.0,300,GBPUSD,49.59,1,2,3
evt_1736813021_122,2025-01-14 00:03:41,2025-01-14 18:00:00,1076,200.77,2025-01-14 15:15:00,7133.6,7161.67,-2945.28,300.0,300,GBPUSD,40.99,2,2,3
evt_1737651600_123,2025-01-23 17:00:00,2025-01-23 18:15:00,75,277.43,2025-01-23 17:00:00,5792.04,10273.05,-1552.57,300.0,300,EURUSD,38.08,2,1,3
evt_1737950400_124,2025-01-27 04:00:00,2025-01-28 01:15:00,1275,284.07,2025-01-27 15:00:00,5369.35,9879.59,-2348.48,300.0,300,EURUSD,62.34,3,0,3
evt_1738029600_125,2025-01-28 02:00:00,2025-01-28 03:30:00,90,296.42,2025-01-28 03:15:00,5358.76,10525.64,-1701.98,300.0,300,EURUSD,62.04,3,0,3
evt_1738040400_126,2025-01-28 05:00:00,2025-01-28 06:30:00,90,232.79,2025-01-28 05:15:00,6911.13,9177.1,-1495.98,300.0,300,EURUSD,48.03,3,1,3
evt_1738051200_127,2025-01-28 08:00:00,2025-01-28 08:15:00,15,299.52,2025-01-28 08:00:00,5356.64,10687.69,-1563.71,300.0,300,EURUSD,61.99,3,0,3
evt_1738054800_128,2025-01-28 09:00:00,2025-01-28 09:15:00,15,298.93,2025-01-28 09:15:00,5357.63,10658.17,-1592.24,300.0,300,EURUSD,61.97,3,0,3
evt_1738057500_129,2025-01-28 09:45:00,2025-01-28 09:45:00,0,299.77,2025-01-28 09:45:00,5357.47,10702.41,-1548.17,300.0,300,EURUSD,61.93,3,0,3
evt_1738062900_130,2025-01-28 11:15:00,2025-01-28 11:30:00,15,298.43,2025-01-28 11:15:00,5358.34,10632.53,-1617.17,300.0,300,EURUSD,61.97,3,0,3
evt_1738576800_131,2025-02-03 10:00:00,2025-02-03 10:00:00,0,299.76,2025-02-03 10:00:00,4688.01,9364.96,-3728.65,300.0,300,USDCHF,44.11,1,1,3
