event_id,worst_threshold_crossed,thresholds_crossed,min_margin_time,pair,open_positions,used_margin,floating_pnl,used_margin_contribution_pct,portfolio_used_margin,portfolio_margin_level
evt_1731654000_219,300.0,300,2024-11-15 07:00:00,EURUSD,0,0.0,0.0,0.0,6959.52,299.87
evt_1731654000_219,300.0,300,2024-11-15 07:00:00,GBPUSD,0,0.0,0.0,0.0,6959.52,299.87
evt_1731654000_219,300.0,300,2024-11-15 07:00:00,USDCHF,3,2801.77,-1323.35,40.26,6959.52,299.87
evt_1731655800_220,300.0,300,2024-11-15 07:30:00,EURGBP,4,4158.7,-1617.5,59.75,6960.72,299.97
evt_1731655800_220,300.0,300,2024-11-15 07:30:00,EURUSD,0,0.0,0.0,0.0,6960.72,299.97
evt_1731655800_220,300.0,300,2024-11-15 07:30:00,GBPUSD,0,0.0,0.0,0.0,6960.72,299.97
evt_1731655800_220,300.0,300,2024-11-15 07:30:00,USDCHF,3,2802.02,-1331.75,40.25,6960.72,299.97
evt_1731657600_221,300.0,300,2024-11-15 08:00:00,EURGBP,4,4158.25,-1626.5,59.74,6960.05,299.98
evt_1731657600_221,300.0,300,2024-11-15 08:00:00,EURUSD,0,0.0,0.0,0.0,6960.05,299.98
evt_1731657600_221,300.0,300,2024-11-15 08:00:00,GBPUSD,0,0.0,0.0,0.0,6960.05,299.98
evt_1731657600_221,300.0,300,2024-11-15 08:00:00,USDCHF,3,2801.8,-1324.4,40.26,6960.05,299.98
evt_1731690000_222,200.0,"300,200",2024-11-20 09:30:00,EURGBP,4,4164.6,-1499.5,39.48,10549.59,198.7
evt_1731690000_222,200.0,"300,200",2024-11-20 09:30:00,EURUSD,1,1502.62,-356.42,14.24,10549.59,198.7
evt_1731690000_222,200.0,"300,200",2024-11-20 09:30:00,GBPUSD,1,2096.23,-255.09,19.87,10549.59,198.7
evt_1731690000_222,200.0,"300,200",2024-11-20 09:30:00,USDCHF,3,2786.14,-802.55,26.41,10549.59,198.7
evt_1732273200_223,300.0,300,2024-11-22 11:00:00,EURGBP,4,4134.55,-2100.5,59.58,6939.4,295.16
evt_1732273200_223,300.0,300,2024-11-22 11:00:00,EURUSD,0,0.0,0.0,0.0,6939.4,295.16
evt_1732273200_223,300.0,300,2024-11-22 11:00:00,GBPUSD,0,0.0,0.0,0.0,6939.4,295.16
evt_1732273200_223,300.0,300,2024-11-22 11:00:00,USDCHF,3,2804.85,-1426.25,40.42,6939.4,295.16
evt_1732287600_224,300.0,300,2024-11-22 16:45:00,EURGBP,4,4155.2,-1687.5,59.58,6974.48,292.7
evt_1732287600_224,300.0,300,2024-11-22 16:45:00,EURUSD,0,0.0,0.0,0.0,6974.48,292.7
evt_1732287600_224,300.0,300,2024-11-22 16:45:00,GBPUSD,0,0.0,0.0,0.0,6974.48,292.7
evt_1732287600_224,300.0,300,2024-11-22 16:45:00,USDCHF,3,2819.28,-1907.15,40.42,6974.48,292.7
evt_1732496400_225,200.0,"300,200",2024-11-25 01:00:00,EURGBP,4,4163.6,-1519.5,39.21,10619.26,198.0
evt_1732496400_225,200.0,"300,200",2024-11-25 01:00:00,EURUSD,1,1509.61,9.36,14.22,10619.26,198.0
evt_1732496400_225,200.0,"300,200",2024-11-25 01:00:00,GBPUSD,1,2139.99,1.02,20.15,10619.26,198.0
evt_1732496400_225,200.0,"300,200",2024-11-25 01:00:00,USDCHF,3,2806.05,-1466.15,26.42,10619.26,198.0
evt_1732557600_226,300.0,300,2024-11-25 18:15:00,EURGBP,4,4173.75,-1316.5,45.84,9104.34,238.08
evt_1732557600_226,300.0,300,2024-11-25 18:15:00,EURUSD,0,0.0,0.0,0.0,9104.34,238.08
evt_1732557600_226,300.0,300,2024-11-25 18:15:00,GBPUSD,1,2135.25,-31.96,23.45,9104.34,238.08
evt_1732557600_226,300.0,300,2024-11-25 18:15:00,USDCHF,3,2795.34,-1109.15,30.7,9104.34,238.08
evt_1732586400_227,300.0,300,2024-11-26 02:00:00,EURGBP,4,4167.3,-1445.5,49.2,8470.01,254.04
evt_1732586400_227,300.0,300,2024-11-26 02:00:00,EURUSD,1,1502.29,81.36,17.74,8470.01,254.04
evt_1732586400_227,300.0,300,2024-11-26 02:00:00,GBPUSD,0,0.0,0.0,0.0,8470.01,254.04
evt_1732586400_227,300.0,300,2024-11-26 02:00:00,USDCHF,3,2800.41,-1278.2,33.06,8470.01,254.04
evt_1732622400_228,300.0,300,2024-11-26 13:15:00,EURGBP,4,4177.95,-1232.5,39.26,10641.4,206.87
evt_1732622400_228,300.0,300,2024-11-26 13:15:00,EURUSD,1,1534.2,5.11,14.42,10641.4,206.87
evt_1732622400_228,300.0,300,2024-11-26 13:15:00,GBPUSD,1,2137.82,-46.58,20.09,10641.4,206.87
evt_1732622400_228,300.0,300,2024-11-26 13:15:00,USDCHF,3,2791.44,-978.95,26.23,10641.4,206.87
evt_1732647600_229,300.0,300,2024-11-26 19:15:00,EURGBP,4,4176.2,-1267.5,45.87,9103.89,241.77
evt_1732647600_229,300.0,300,2024-11-26 19:15:00,EURUSD,0,0.0,0.0,0.0,9103.89,241.77
evt_1732647600_229,300.0,300,2024-11-26 19:15:00,GBPUSD,1,2130.75,34.68,23.4,9103.89,241.77
evt_1732647600_229,300.0,300,2024-11-26 19:15:00,USDCHF,3,2796.95,-1162.7,30.72,9103.89,241.77
evt_1732651200_230,200.0,"300,200",2024-12-04 16:00:00,EURGBP,4,4135.55,-2080.5,32.18,12850.87,162.79
evt_1732651200_230,200.0,"300,200",2024-12-04 16:00:00,EURUSD,1,1550.97,-340.4,12.07,12850.87,162.79
evt_1732651200_230,200.0,"300,200",2024-12-04 16:00:00,GBPUSD,2,4371.22,-307.35,34.01,12850.87,162.79
evt_1732651200_230,200.0,"300,200",2024-12-04 16:00:00,USDCHF,3,2793.14,-1035.65,21.73,12850.87,162.79
evt_1733738400_231,300.0,300,2024-12-09 10:00:00,EURGBP,4,4137.95,-2032.5,45.76,9042.67,257.41
evt_1733738400_231,300.0,300,2024-12-09 10:00:00,EURUSD,1,1605.09,-35.72,17.75,9042.67,257.41
evt_1733738400_231,300.0,300,2024-12-09 10:00:00,GBPUSD,1,2296.75,-12.6,25.4,9042.67,257.41
evt_1733738400_231,300.0,300,2024-12-09 10:00:00,USDCHF,1,1002.88,-31.54,11.09,9042.67,257.41
evt_1733913301_232,300.0,300,2024-12-11 11:00:00,EURGBP,4,4119.75,-2396.5,48.71,8457.64,272.93
evt_1733913301_232,300.0,300,2024-12-11 11:00:00,EURUSD,0,0.0,0.0,0.0,8457.64,272.93
evt_1733913301_232,300.0,300,2024-12-11 11:00:00,GBPUSD,1,2294.95,-58.68,27.13,8457.64,272.93
evt_1733913301_232,300.0,300,2024-12-11 11:00:00,USDCHF,2,2042.94,-195.7,24.15,8457.64,272.93
